source	time	heading	story	url
THE WEEK	1549470180	Rahul vows to safeguard tribal rights; attacks Centre, Odisha govt	Corruption is rampant at the Centre and in Odisha, says the Congress chief. Rahul Gandhi. tribal rights. Congress. Lok Sabha polls.	https://news.google.com/articles/CBMicmh0dHBzOi8vd3d3LnRoZXdlZWsuaW4vbmV3cy9pbmRpYS8yMDE5LzAyLzA2L3JhaHVsLXZvd3MtdG8tc2FmZWd1YXJkLXRyaWJhbC1yaWdodHMtYXR0YWNrcy1jZW50cmUtb2Rpc2hhLWdvdnQuaHRtbNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Gaming Intelligence	1549880520	Washington bill seeks to authorise tribal sports betting operations	Lawmakers in Washington State have introduced legislation to allow the state's tribal casinos to offer sports betting. The bill states that its intent is to authorise ...	https://news.google.com/articles/CBMicmh0dHBzOi8vd3d3LmdhbWluZ2ludGVsbGlnZW5jZS5jb20vbGVnYWwvNTA5ODQtd2FzaGluZ3Rvbi1iaWxsLXNlZWtzLXRvLWF1dGhvcmlzZS10cmliYWwtc3BvcnRzLWJldHRpbmctb3BlcmF0aW9uc9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Philly.com	1549675021	US delays sale of oil and gas leases near sacred tribal land	U.S. land managers no longer plan to move forward in March with the sale of oil and gas leases that include land near Chaco Culture National Historical Park in ...	https://news.google.com/articles/CBMinQFodHRwczovL3d3dy5waGlsbHkuY29tL25ld3MvbmF0aW9uLXdvcmxkL2ZlZGVyYWwtYnVyZWF1LWxhbmQtbWFuYWdlbWVudC1vaWwtZ2FzLWxlYXNlcy1jaGFjby1jdWx0dXJlLW5hdGlvbmFsLWhpc3RvcmljYWwtcGFyay1uZXctbWV4aWNvLXNhY3JlZC0yMDE5MDIwOS5odG1s0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Pune Mirror	1549585800	Now, a new cuppa with tribal infusions	BAIF development project underway across Thane district to market indigenous brews drawn from endemic herbs and plants that could work as the caffeine fix.	https://news.google.com/articles/CAIiEBAYKKTSOYH4Uoahaqn_RtkqGQgEKhAIACoHCAowr479CjDN7okDMN6m1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
NDTV News	1549373580	Kerala Congress Leader Accused Of Raping Tribal Teen Surrenders	A former Congress district functionary, booked for allegedly raping a 17-year-old tribal girl for nearly a year, surrendered before police on Tuesday, an official ...	https://news.google.com/articles/CAIiEHjLSTN5vSosY4DecCfBmioqGQgEKhAIACoHCAowj8n_CjDIrfkCMPGi6AU?hl=en-IN&gl=IN&ceid=IN%3Aen
KTVQ Billings News	1549680056	Judge orders First Interstate Bank to unfreeze $2.5 million of Crow tribal money	A federal judge ordered First Interstate Bank Friday to unfreeze about $2.5 million in Crow tribal fund to Chairman A.J. Not Afraid after two other tribal officials ...	https://news.google.com/articles/CBMifGh0dHBzOi8va3R2cS5jb20vbmV3cy9sb2NhbC1uZXdzLzIwMTkvMDIvMDgvanVkZ2Utb3JkZXJzLWZpcnN0LWludGVyc3RhdGUtYmFuay10by11bmZyZWV6ZS0yLTUtbWlsbGlvbi1vZi1jcm93LXRyaWJhbC1tb25leS_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549899660	Ryan tells Brighton teammates to toughen up	Mathew Ryan wants his Brighton teammates to become a little tougher.The goalkeeper believes they are too soft defensively, which is costing them points in the ...	https://news.google.com/articles/CAIiEOZ6kWR8lbfxOFC01cGRdpAqGQgEKhAIACoHCAow2Z3dCjCbwdABMP7dngE?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549899780	Watford striker Gray: No limit to our ambitions	Watford striker Andre Gray claims there are no limits to what the team wants to achieve this season.The Hornets managed an impressive win against Everton ...	https://news.google.com/articles/CAIiEOVXkBlLcnSpIEKYYlB6Bp0qGQgEKhAIACoHCAow2Z3dCjCbwdABMMjeigI?hl=en-IN&gl=IN&ceid=IN%3Aen
Tribal Football	1549899060	Police investigate Southampton fan taunts about Sala death	Hampshire Police are deciding whether any criminal offences took place when Southampton fans taunted Cardiff City over the death of Emiliano Sala.	https://news.google.com/articles/CAIiEKVhndIwltdoMvbPfWbc65YqGQgEKhAIACoHCAow2Z3dCjCbwdABMMjeigI?hl=en-IN&gl=IN&ceid=IN%3Aen
The Nation	1549824220	Schools In Tribal Areas	The education system of the Tribal areas of Pakistan is in dire need of reforms, especially when the government directed the majority of the reform budget ...	https://news.google.com/articles/CBMiOWh0dHBzOi8vbmF0aW9uLmNvbS5way8xMS1GZWItMjAxOS9zY2hvb2xzLWluLXRyaWJhbC1hcmVhc9IBiwFodHRwczovL25hdGlvbi1jb20tcGsuY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9uYXRpb24uY29tLnBrLzExLUZlYi0yMDE5L3NjaG9vbHMtaW4tdHJpYmFsLWFyZWFzP3ZlcnNpb249YW1wJmFtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
