source	time	heading	story	url
Music Week	1549868400	New edition of Music Week out now	We're digging into the live industry this week, as Ticketmaster MD Andrew Parsons stars on the cover of the new edition of Music Week. Alongside that ...	https://news.google.com/articles/CBMiTGh0dHA6Ly93d3cubXVzaWN3ZWVrLmNvbS9tZWRpYS9yZWFkL25ldy1lZGl0aW9uLW9mLW11c2ljLXdlZWstb3V0LW5vdy8wNzUyNTXSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen
Kotaku	1549828800	Enter The Gungeon's Composer Talks Rap, Video Game Music, And Bullet Hell	Enter the Gungeon demands so much of your attention. Mastering the bullet hell means enduring a cycle of dodging, rolling, shooting, and dying. Its intense ...	https://news.google.com/articles/CAIiEGgZ_e61Vz1cfld_DJajVX8qFQgEKg0IACoGCAow9YACMKFMMLOpHg?hl=en-IN&gl=IN&ceid=IN%3Aen
Billboard	1549854189	Charlie Puth Says His New Music Will Feel '100 Percent Me': Watch	Charlie Puth stopped to chat with with Billboard at the 2019 Grammy Awards, discussing his Grammy nominations, the fact that he has inspired his fans to take ...	https://news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LmJpbGxib2FyZC5jb20vYXJ0aWNsZXMvbmV3cy9ncmFtbXlzLzg0OTc2MDQvY2hhcmxpZS1wdXRoLXRhbGtzLW5ldy1tdXNpYy1ncmFtbXlzLXZpZGVv0gHmAWh0dHBzOi8vd3d3LWJpbGxib2FyZC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cuYmlsbGJvYXJkLmNvbS9hbXAvYXJ0aWNsZXMvbmV3cy9ncmFtbXlzLzg0OTc2MDQvY2hhcmxpZS1wdXRoLXRhbGtzLW5ldy1tdXNpYy1ncmFtbXlzLXZpZGVvP3Nlc3Npb25pZD16a1FPeXlna1NtdzhvM3cxdm1kbV9paFprdHlxMWFJUG1KbFF5bWNaN01nJmFtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
Asbury Park Press	1549869060	Michelle Obama 'steps up' with music ladies at 2019 Grammys: Complete Grammy Winners	The First Lady stepped up. A year after the PR disaster of Grammy head Neil Portnow stating that women needed to “step up” to get Grammy gold, this year five ...	https://news.google.com/articles/CAIiEFHXyZvtE4dc0ezObkQrpmIqGQgEKhAIACoHCAowx_7_CjCjposDML3t5wU?hl=en-IN&gl=IN&ceid=IN%3Aen
dayton.com	1549882905	Omega Music has kept more than 11,000 bags out of landfills with this minor switch-up	Retailers and restaurants across the country are opting for more sustainable and earth-friendly packaging. Omega Music in Dayton is taking the initiative down ...	https://news.google.com/articles/CBMiiQFodHRwczovL3d3dy5kYXl0b24uY29tL2VudGVydGFpbm1lbnQvb21lZ2EtbXVzaWMtaGFzLWtlcHQtbW9yZS10aGFuLTAwMC1iYWdzLW91dC1sYW5kZmlsbHMtd2l0aC10aGlzLW1pbm9yLXN3aXRjaC9ESzI0NlVEU1ozR2pOTWt3S01zcGRLL9IB2AFodHRwczovL3d3dy1kYXl0b24tY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LmRheXRvbi5jb20vZW50ZXJ0YWlubWVudC9vbWVnYS1tdXNpYy1oYXMta2VwdC1tb3JlLXRoYW4tMDAwLWJhZ3Mtb3V0LWxhbmRmaWxscy13aXRoLXRoaXMtbWlub3Itc3dpdGNoL0RLMjQ2VURTWjNHak5Na3dLTXNwZEsvYW1wLmh0bWw_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
The New Yorker	1549879282	The Dizzying Democratization of Baroque Music	As two midwinter New York concerts made plain, early-music performers have ventured beyond the repertory's familiar names, Alex Ross writes.	https://news.google.com/articles/CAIiEIIsqJFNRCd-GXyKvwZGEx8qGQgEKhAIACoHCAowjMqjCjCJhZwBMKDUywM?hl=en-IN&gl=IN&ceid=IN%3Aen
MusicRadar	1549885200	How to use extended chords to add flavour to your music	Add colour and interest to your harmonic progressions by working in extra notes. We show you how.	https://news.google.com/articles/CBMiWWh0dHBzOi8vd3d3Lm11c2ljcmFkYXIuY29tL2hvdy10by9ob3ctdG8tdXNlLWV4dGVuZGVkLWNob3Jkcy10by1hZGQtZmxhdm91ci10by15b3VyLW11c2lj0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
KTVQ Billings News	1549853423	Pub station owners say music in Billings is fantastic	The Grammy Awards honored the best musicians Sunday night in Los Angeles. Some big names have also performed in Billings. Country music singer Neal ...	https://news.google.com/articles/CBMiV2h0dHBzOi8va3R2cS5jb20vbmV3cy8yMDE5LzAyLzEwL3B1Yi1zdGF0aW9uLW93bmVycy1zYXktbXVzaWMtaW4tYmlsbGluZ3MtaXMtZmFudGFzdGljL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
San Francisco Chronicle	1549850879	Trumpeter Christian Scott aTunde Adjuah taps into music’s ability to unite cultures	New Orleans-bred trumpeter Christian Scott aTunde Adjuah is one of the brightest forces in the resurgent jazz and instrumental music movement. Schooled…	https://news.google.com/articles/CBMieWh0dHBzOi8vZGF0ZWJvb2suc2ZjaHJvbmljbGUuY29tL211c2ljL3RydW1wZXRlci1jaHJpc3RpYW4tc2NvdHQtYXR1bmRlLWFkanVhaC10YXBzLWludG8tbXVzaWNzLWFiaWxpdHktdG8tdW5pdGUtY3VsdHVyZXPSAc4BaHR0cHM6Ly9kYXRlYm9vay1zZmNocm9uaWNsZS1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9kYXRlYm9vay5zZmNocm9uaWNsZS5jb20vbXVzaWMvdHJ1bXBldGVyLWNocmlzdGlhbi1zY290dC1hdHVuZGUtYWRqdWFoLXRhcHMtaW50by1tdXNpY3MtYWJpbGl0eS10by11bml0ZS1jdWx0dXJlcy9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Times Now	1549802195	A confluence of art, literature and music in South Delhi	Vasant Vihar LitFest brought together some of the best minds to discuss a variety of topics of national importance, along with dishing out a cultural extravaganza.	https://news.google.com/articles/CBMihAFodHRwczovL3d3dy50aW1lc25vd25ld3MuY29tL2VudGVydGFpbm1lbnQvbGlmZXN0eWxlL3RyZW5kaW5nL2FydGljbGUvYS1jb25mbHVlbmNlLW9mLWFydC1saXRlcmF0dXJlLWFuZC1tdXNpYy1pbi1zb3V0aC1kZWxoaS8zNjMzMDTSAdUBaHR0cHM6Ly93d3ctdGltZXNub3duZXdzLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy50aW1lc25vd25ld3MuY29tL2FtcC9lbnRlcnRhaW5tZW50L2xpZmVzdHlsZS90cmVuZGluZy9hcnRpY2xlL2EtY29uZmx1ZW5jZS1vZi1hcnQtbGl0ZXJhdHVyZS1hbmQtbXVzaWMtaW4tc291dGgtZGVsaGkvMzYzMzA0P2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
