source	time	heading	story	url
Lusaka Times	1547971200	Zambia : 15 year old rescued from early marriage by Zambia Police	Lusaka - Zambia: Monze District Child Protection Committee in collaboration with the Zambia Police yesterday rescued a 15 year old girl from marriage and ...	https://news.google.com/articles/CBMiYGh0dHBzOi8vd3d3Lmx1c2FrYXRpbWVzLmNvbS8yMDE5LzAxLzIwLzE1LXllYXItb2xkLXJlc2N1ZWQtZnJvbS1lYXJseS1tYXJyaWFnZS1ieS16YW1iaWEtcG9saWNlL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Times of India	1549768097	‘One Billion Rising’ waves reach Kolkata	KOLKATA: The Kolkata Mary Ward Social Centre on Saturday organised a sensitization drive against sexual harassment, child marriage, safety of girls in.	https://news.google.com/articles/CAIiENDOv-agXCoP9Pk5z84MAa4qGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen
CNBC	1549884188	Have four or more babies in Hungary and you'll pay no income tax for life, prime minister says	Hungarian women that have four or more children are to be exempted from paying income tax for life, the prime minister has said.	https://news.google.com/articles/CAIiEEE0yB-Gis5JTxuwWMnFRW4qGQgEKhAIACoHCAow2Nb3CjDivdcCMJ_d7gU?hl=en-IN&gl=IN&ceid=IN%3Aen
YourStory.com	1549628783	Voices of adolescent girls: what children tell us about risk, gender-based violence and the experience of reporting to police	Adolescent girls from marginalised groups are most invisible and unheard groups. Find the results of a survey that attempts to capture recommendations of ...	https://news.google.com/articles/CBMiVGh0dHBzOi8veW91cnN0b3J5LmNvbS8yMDE5LzAyL2Fkb2xlc2NlbnQtZ2lybHMtZ2VuZGVyLXZpb2xlbmNlLWV4cGVyaWVuY2UtcmVwb3J0aW5nL9IBnQFodHRwczovL3lvdXJzdG9yeS1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy95b3Vyc3RvcnkuY29tLzIwMTkvMDIvYWRvbGVzY2VudC1naXJscy1nZW5kZXItdmlvbGVuY2UtZXhwZXJpZW5jZS1yZXBvcnRpbmcvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
E! NEWS	1549810800	What It Was Really Like Growing Up Gotti, as Told by Victoria	The daughter of the infamous Gambino crime family boss sets the record straight.	https://news.google.com/articles/CAIiECX7UI9R7D94uWb_lgADebsqGQgEKhAIACoHCAowq_7zCjCt4tQCMPa0pwY?hl=en-IN&gl=IN&ceid=IN%3Aen
Scary Mommy	1549851983	What I Learned After Telling My Daughter About My Previous Marriage	I want to be open with my daughter about my previous marriage and divorce, but at the appropriate age, of course. Not now. Not when she is 8 years old.	https://news.google.com/articles/CAIiEGpSmxloobqBbguEb98cZLYqGQgEKhAIACoHCAowzcz7CjDPvvQCMLHI0wU?hl=en-IN&gl=IN&ceid=IN%3Aen
Polygon	1547712000	Assassin’s Creed Odyssey director apologizes for DLC’s forced marriage	Assassin's Creed Odyssey's creative director has apologized for a story choice in the game's latest expansion that forces the main character into a heterosexual ...	https://news.google.com/articles/CAIiEK9Tbksr88MaPj5l6hrj6boqGAgEKg8IACoHCAow6IDNATDnu3cwwKzpBQ?hl=en-IN&gl=IN&ceid=IN%3Aen
The New Times	1549830705	Why you should consider couple genetic screening before pregnancy or marriage	Many genetic disorders happen when someone has two bad (faulty) copies of a gene, one from each parent. In such cases, if one has only one faulty copy, they ...	https://news.google.com/articles/CBMia2h0dHBzOi8vd3d3Lm5ld3RpbWVzLmNvLnJ3L2xpZmVzdHlsZS93aHkteW91LXNob3VsZC1jb25zaWRlci1jb3VwbGUtZ2VuZXRpYy1zY3JlZW5pbmctcHJlZ25hbmN5LW9yLW1hcnJpYWdl0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Economic Times	1549857660	ET Women’s Forum: Julia Gillard bats for women power; says gender equality needs more female representation in govt, industry	Gender equality is still a long way away, says the former PM of Australia.	https://news.google.com/articles/CAIiEKjp8jC56fitadsDrSzBReYqGQgEKhAIACoHCAow2pqGCzD954MDMOClmgY?hl=en-IN&gl=IN&ceid=IN%3Aen
Leadership Newspaper	1549884793	Marriage Dissolved Over Religious Differences	Marriage Dissolved Over Religious Differences Chief Ademola Odunade, President of a Mapo Customary Court in Ibadan, on Monday dissolved a 31 year-old ...	https://news.google.com/articles/CBMiT2h0dHBzOi8vbGVhZGVyc2hpcC5uZy8yMDE5LzAyLzExL21hcnJpYWdlLWRpc3NvbHZlZC1vdmVyLXJlbGlnaW91cy1kaWZmZXJlbmNlcy_SAZkBaHR0cHM6Ly9sZWFkZXJzaGlwLW5nLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbGVhZGVyc2hpcC5uZy8yMDE5LzAyLzExL21hcnJpYWdlLWRpc3NvbHZlZC1vdmVyLXJlbGlnaW91cy1kaWZmZXJlbmNlcy9hbXAvP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
