source	time	heading	story	url
Smithsonian.com	1549632980	Artificial Intelligence Study of Human Genome Finds Unknown Human Ancestor	Can the minds of machines teach us something new about what it means to be human? When it comes to the intricate story of our species' complex origins and ...	https://news.google.com/articles/CAIiEML3Kv1ZBAd-Y5HIbWD9N4wqFQgEKg0IACoGCAow88QGMMBbMKTDAg?hl=en-IN&gl=IN&ceid=IN%3Aen
Entrepreneur	1549645200	Artificial Intelligence Is Changing Banking and Wall Street. Here's What to Expect in 2019.	AI is coming to your financial institution, to make trading algorithms more reliable, lower fees and personalize financial products.	https://news.google.com/articles/CBMiK2h0dHBzOi8vd3d3LmVudHJlcHJlbmV1ci5jb20vYXJ0aWNsZS8zMjc2NjDSAXhodHRwczovL3d3dy1lbnRyZXByZW5ldXItY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3Mvd3d3LmVudHJlcHJlbmV1ci5jb20vYW1waHRtbC8zMjc2NjA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Economic Times	1549606620	Making new drugs with a dose of Artificial Intelligence	By Cade Metz SAN FRANCISCO: You can think of it as a World Cup of biochemical research. Every two years, hundreds of scientists enter a global competition.	https://news.google.com/articles/CAIiEMs7tKgAppOpUhZJnPdMMQkqGQgEKhAIACoHCAow2pqGCzD954MDMNCRmgY?hl=en-IN&gl=IN&ceid=IN%3Aen
MIT Technology Review	1549572780	China's military is rushing to use artificial intelligence	It's common to say that China and the US are in an “AI arms race,” as each country races to develop and commercialize deep learning and other AI technologies ...	https://news.google.com/articles/CBMib2h0dHBzOi8vd3d3LnRlY2hub2xvZ3lyZXZpZXcuY29tL3RoZS1kb3dubG9hZC82MTI5MTUvY2hpbmFzLW1pbGl0YXJ5LWlzLXJ1c2hpbmctdG8tdXNlLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
The Irish News	1549818156	Wingate and Finchley's Artificial Intelligence coach earns draw in landmark game	Wingate and Finchley have seen the first results of their move to incorporate artificial intelligence into the coaching set-up after a 1-1 draw in the Isthmian ...	https://news.google.com/articles/CBMikgFodHRwczovL3d3dy5pcmlzaG5ld3MuY29tL21hZ2F6aW5lL2RhaWx5LzIwMTkvMDIvMTAvbmV3cy93aW5nYXRlLWFuZC1maW5jaGxleS1zLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWNvYWNoLWVhcm5zLWRyYXctaW4tbGFuZG1hcmstZ2FtZS0xNTQ4NTA5L9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
NEWS.com.au	1549841164	Home loan AI assistance: UBank’s artificial intelligence solution to loans	Digital lender UBank has partnered with an artificial intelligence company to create the world's first online home loan application assistant it says will be able to ...	https://news.google.com/articles/CBMikgFodHRwczovL3d3dy5uZXdzLmNvbS5hdS9maW5hbmNlL2J1c2luZXNzL2JhbmtpbmcvdWJhbmstbGF1bmNoZXMtd29ybGRzLWZpcnN0LWRpZ2l0YWwtaG9tZS1sb2FuLWFkdmlzZXIvbmV3cy1zdG9yeS80ZTQxNWVjOTQ0MDk5NTYwNjg2NDA5MGI0ZTkxY2VhN9IB2gFodHRwczovL2FtcC1uZXdzLWNvbS1hdS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL2FtcC5uZXdzLmNvbS5hdS9maW5hbmNlL2J1c2luZXNzL2JhbmtpbmcvdWJhbmstbGF1bmNoZXMtd29ybGRzLWZpcnN0LWRpZ2l0YWwtaG9tZS1sb2FuLWFkdmlzZXIvbmV3cy1zdG9yeS80ZTQxNWVjOTQ0MDk5NTYwNjg2NDA5MGI0ZTkxY2VhNz9hbXBfanNfdj0wLjEjd2Vidmlldz0xJmNhcD1zd2lwZQ?hl=en-IN&gl=IN&ceid=IN%3Aen
TechSpective	1549809780	A Realistic Look at Where AI is Going in 2019	When companies say “AI,” they are often using it as a catch-all term for a broad selection of technologies from machine learning and predictive analytics.	https://news.google.com/articles/CBMiUmh0dHBzOi8vdGVjaHNwZWN0aXZlLm5ldC8yMDE5LzAyLzEwL2EtcmVhbGlzdGljLWxvb2stYXQtd2hlcmUtYWktaXMtZ29pbmctaW4tMjAxOS_SAZ8BaHR0cHM6Ly90ZWNoc3BlY3RpdmUtbmV0LmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvdGVjaHNwZWN0aXZlLm5ldC8yMDE5LzAyLzEwL2EtcmVhbGlzdGljLWxvb2stYXQtd2hlcmUtYWktaXMtZ29pbmctaW4tMjAxOS9hbXAvP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
Science Daily	1549473004	Artificial intelligence can identify microscopic marine organisms	Researchers have developed an artificial intelligence (AI) program that can automatically provide species-level identification of microscopic marine organisms.	https://news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LnNjaWVuY2VkYWlseS5jb20vcmVsZWFzZXMvMjAxOS8wMi8xOTAyMDYxMDQ1MzUuaHRt0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Quanta Magazine	1549552757	Artificial Intelligence Finds Ancient 'Ghosts' in Modern DNA	With the help of deep learning techniques, paleoanthropologists find evidence of long-lost branches on the human family tree.	https://news.google.com/articles/CBMiY2h0dHBzOi8vd3d3LnF1YW50YW1hZ2F6aW5lLm9yZy9hcnRpZmljaWFsLWludGVsbGlnZW5jZS1maW5kcy1hbmNpZW50LWdob3N0cy1pbi1tb2Rlcm4tZG5hLTIwMTkwMjA3L9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Forbes	1549563600	4 Ways Artificial Intelligence Will Drive Digital Transformation In Agriculture	One area many people are surprised to see changes from AI is agriculture. Here are 4 ways AI will drive digital transformation in Agriculture.	https://news.google.com/articles/CAIiEDSeKNj0NKXBSXsS7ktzjy0qFQgEKg0IACoGCAowrqkBMKBFMKGBAg?hl=en-IN&gl=IN&ceid=IN%3Aen
