source	time	heading	story	url
TechRepublic	1549576980	What Google Cloud revenue could tell us about machine learning adoption	Alphabet keeps Google's cloud revenue a secret, which is too bad because it could tell us a lot about the state of enterprise adoption of machine learning.	https://news.google.com/articles/CBMibWh0dHBzOi8vd3d3LnRlY2hyZXB1YmxpYy5jb20vYXJ0aWNsZS93aGF0LWdvb2dsZS1jbG91ZC1yZXZlbnVlLWNvdWxkLXRlbGwtdXMtYWJvdXQtbWFjaGluZS1sZWFybmluZy1hZG9wdGlvbi_SAcUBaHR0cHM6Ly93d3ctdGVjaHJlcHVibGljLWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy50ZWNocmVwdWJsaWMuY29tL2dvb2dsZS1hbXAvYXJ0aWNsZS93aGF0LWdvb2dsZS1jbG91ZC1yZXZlbnVlLWNvdWxkLXRlbGwtdXMtYWJvdXQtbWFjaGluZS1sZWFybmluZy1hZG9wdGlvbi8_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU?hl=en-IN&gl=IN&ceid=IN%3Aen
Analytics Insight	1549444488	Is the Deep Learning Era Coming to an End? MIT Argues. Read to Believe	Almost everything we witness into artificial intelligence is deep learning. The deep learning algorithms work by deploying statistics to find patterns in data and ...	https://news.google.com/articles/CBMiZmh0dHBzOi8vd3d3LmFuYWx5dGljc2luc2lnaHQubmV0L2lzLXRoZS1kZWVwLWxlYXJuaW5nLWVyYS1jb21pbmctdG8tYW4tZW5kLW1pdC1hcmd1ZXMtcmVhZC10by1iZWxpZXZlL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
Financial Times	1549429243	Fund industry must use the right type of machine learning	Simply following Amazon's successful model sets up investors for disappointment.	https://news.google.com/articles/CAIiEJsfhGK2iXSHzlTrix1JftsqFwgEKg8IACoHCAow-4fWBzD4z0gw4tp6?hl=en-IN&gl=IN&ceid=IN%3Aen
Interesting Engineering	1549532827	Dive into Machine Learning and AI with This 5-Course MATLAB Bundle	The Essential MATLAB & Simulink Certification Training Bundle will get you up to speed with two of machine learning's most powerful and relied-upon programs ...	https://news.google.com/articles/CBMiZWh0dHBzOi8vaW50ZXJlc3RpbmdlbmdpbmVlcmluZy5jb20vZGl2ZS1pbnRvLW1hY2hpbmUtbGVhcm5pbmctYW5kLWFpLXdpdGgtdGhpcy01LWNvdXJzZS1tYXRsYWItYnVuZGxl0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Futurity: Research News	1549372394	Machine learning lets old building use less heat	"Researchers trained a machine learning model with data on forecasts and actual weather conditions. The result is an old building that's ""smarter"" about heat."	https://news.google.com/articles/CBMiRWh0dHBzOi8vd3d3LmZ1dHVyaXR5Lm9yZy9tYWNoaW5lLWxlYXJuaW5nLXdlYXRoZXItZW5lcmd5LXVzZS0xOTczOTAyL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen
The Register	1548057600	Big problems? How could AI and machine learning help?	Events If you've got a problem and you suspect part of the answer might come in the form of AI, machine learning or data science, you should really join us at ...	https://news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LnRoZXJlZ2lzdGVyLmNvLnVrLzIwMTkvMDEvMjEvYmlnX3Byb2JsZW1zX2hvd19jb3VsZF9haV9hbmRfbWFjaGluZV9sZWFybmluZ19oZWxwL9IBrwFodHRwczovL3d3dy10aGVyZWdpc3Rlci1jby11ay5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL3d3dy50aGVyZWdpc3Rlci5jby51ay9BTVAvMjAxOS8wMS8yMS9iaWdfcHJvYmxlbXNfaG93X2NvdWxkX2FpX2FuZF9tYWNoaW5lX2xlYXJuaW5nX2hlbHAvP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
Science Daily	1548144000	Machine learning could reduce testing, improve treatment for intensive care patients	Doctors in intensive care units face a continual dilemma: Every blood test they order could yield critical information, but also adds costs and risks for patients.	https://news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LnNjaWVuY2VkYWlseS5jb20vcmVsZWFzZXMvMjAxOS8wMS8xOTAxMjIxNDI4NTMuaHRt0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
Analytics India Magazine	1547798400	How To Build A Successful Machine Learning Product Like LinkedIn	With more than 200 million users logging in every month, the task of collecting, handling and serving the data accurately without any latency gets hectic.	https://news.google.com/articles/CAIiEMOOf-XrujEgl-_Z9eYgQWkqGQgEKhAIACoHCAowiv6GCzDhmIUDMKKElgY?hl=en-IN&gl=IN&ceid=IN%3Aen
Online Athens	1549825200	UGA researchers use machine learning to identify source of Salmonella outbreaks	A team of scientists led by researchers at the University of Georgia Center for Food Safety in Griffin has developed a machine-learning approach that could lead ...	https://news.google.com/articles/CBMiemh0dHBzOi8vd3d3Lm9ubGluZWF0aGVucy5jb20vbmV3cy8yMDE5MDIxMC91Z2EtcmVzZWFyY2hlcnMtdXNlLW1hY2hpbmUtbGVhcm5pbmctdG8taWRlbnRpZnktc291cmNlLW9mLXNhbG1vbmVsbGEtb3V0YnJlYWtz0gHXAWh0dHBzOi8vd3d3LW9ubGluZWF0aGVucy1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy93d3cub25saW5lYXRoZW5zLmNvbS9uZXdzLzIwMTkwMjEwL3VnYS1yZXNlYXJjaGVycy11c2UtbWFjaGluZS1sZWFybmluZy10by1pZGVudGlmeS1zb3VyY2Utb2Ytc2FsbW9uZWxsYS1vdXRicmVha3M_dGVtcGxhdGU9YW1wYXJ0JmFtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl?hl=en-IN&gl=IN&ceid=IN%3Aen
Japan Today	1549576283	How artificial intelligence and machine learning are unlocking content	The pace of *content* creation has never been faster. Each day, the world generates 2.5 quintillion bytes of data, and more than 90 percent of all data in existence ...	https://news.google.com/articles/CBMia2h0dHBzOi8vamFwYW50b2RheS5jb20vY2F0ZWdvcnkvdGVjaC9ob3ctYXJ0aWZpY2lhbC1pbnRlbGxpZ2VuY2UtYW5kLW1hY2hpbmUtbGVhcm5pbmctYXJlLXVubG9ja2luZy1jb250ZW500gEA?hl=en-IN&gl=IN&ceid=IN%3Aen
